"tipvg","price","count"
"К",1,0
"К",2,0
"К",3,0
"К",4,0
"К",5,145
"К",6,0
"К",7,280
"К",8,183
"К",9,0
"К",10,0
"К",11,15
"К",12,0
"К",13,4
"К",14,30
"К",15,18
"К",16,22
"К",17,33
"К",18,29
"К",19,81
"К",20,127
"К",21,104
"К",22,234
"К",23,8016
"К",24,8298
"К",25,23552
"К",26,4062
"К",27,760
"К",28,606
"К",29,2223
"К",30,729
"К",31,4353
"К",32,3389
"К",33,10572
"К",34,424
"К",35,165
"К",36,382
"К",37,277
"К",38,198
"К",39,309
"К",40,2554
"К",41,2062
"К",42,245
"К",43,1017
"К",44,528
"К",45,578
"К",46,1159
"К",47,803
"К",48,1574
"К",49,3123
"К",50,1675
"К",51,2285
"К",52,2260
"К",53,2783
"К",54,3251
"К",55,3684
"К",56,3319
"К",57,5639
"К",58,4556
"К",59,5813
"К",60,6616
"К",61,5486
"К",62,7703
"К",63,9533
"К",64,7642
"К",65,8473
"К",66,10368
"К",67,11919
"К",68,10988
"К",69,11272
"К",70,14286
"К",71,8819
"К",72,13958
"К",73,12870
"К",74,16124
"К",75,15285
"К",76,18774
"К",77,8414
"К",78,17264
"К",79,12485
"К",80,12301
"К",81,20137
"К",82,18127
"К",83,19358
"К",84,9022
"К",85,11211
"К",86,14780
"К",87,18884
"К",88,20363
"К",89,15812
"К",90,16309
"К",91,20912
"К",92,15021
"К",93,15944
"К",94,19638
"К",95,19136
"К",96,25311
"К",97,21403
"К",98,22213
"К",99,20863
"К",100,20640
"К",101,24678
"К",102,24181
"К",103,20818
"К",104,27047
"К",105,29060
"К",106,21300
"К",107,26101
"К",108,24922
"К",109,31005
"К",110,20350
"К",111,26735
"К",112,31019
"К",113,27999
"К",114,27931
"К",115,30817
"К",116,31775
"К",117,25590
"К",118,26566
"К",119,28243
"К",120,37014
"К",121,32687
"К",122,29209
"К",123,32821
"К",124,37365
"К",125,31031
"К",126,27773
"К",127,38539
"К",128,39039
"К",129,39880
"К",130,35548
"К",131,38419
"К",132,33144
"К",133,38255
"К",134,43546
"К",135,43465
"К",136,33016
"К",137,40245
"К",138,47179
"К",139,37126
"К",140,49058
"К",141,46803
"К",142,40601
"К",143,39386
"К",144,44362
"К",145,56484
"К",146,46336
"К",147,38287
"К",148,48834
"К",149,45325
"К",150,44636
"К",151,40047
"К",152,53154
"К",153,56885
"К",154,56721
"К",155,47934
"К",156,48917
"К",157,49778
"К",158,45377
"К",159,52340
"К",160,58283
"К",161,48887
"К",162,47011
"К",163,51663
"К",164,69889
"К",165,51466
"К",166,40602
"К",167,67034
"К",168,45468
"К",169,42025
"К",170,56104
"К",171,54472
"К",172,76273
"К",173,53211
"К",174,48135
"К",175,42580
"К",176,52897
"К",177,53725
"К",178,67000
"К",179,58491
"К",180,62977
"К",181,42629
"К",182,42601
"К",183,45941
"К",184,53702
"К",185,68644
"К",186,71831
"К",187,55272
"К",188,56840
"К",189,45306
"К",190,52970
"К",191,59586
"К",192,59817
"К",193,60263
"К",194,48344
"К",195,60552
"К",196,59174
"К",197,51418
"К",198,49989
"К",199,55608
"К",200,64046
"К",201,64743
"К",202,55262
"К",203,59259
"К",204,53097
"К",205,60584
"К",206,53528
"К",207,57482
"К",208,57471
"К",209,59633
"К",210,55505
"К",211,61043
"К",212,62426
"К",213,60827
"К",214,60285
"К",215,47942
"К",216,59903
"К",217,61662
"К",218,61870
"К",219,62215
"К",220,55767
"К",221,62551
"К",222,62919
"К",223,45181
"К",224,61098
"К",225,42971
"К",226,60564
"К",227,54839
"К",228,57650
"К",229,61211
"К",230,74292
"К",231,57773
"К",232,52770
"К",233,50901
"К",234,43302
"К",235,57916
"К",236,57606
"К",237,46707
"К",238,60621
"К",239,58854
"К",240,55314
"К",241,46768
"К",242,55233
"К",243,49660
"К",244,40769
"К",245,60947
"К",246,39355
"К",247,61413
"К",248,51592
"К",249,42937
"К",250,50396
"К",251,41891
"К",252,46323
"К",253,42652
"К",254,40646
"К",255,44098
"К",256,34359
"К",257,45622
"К",258,42239
"К",259,32217
"К",260,48350
"К",261,45047
"К",262,35014
"К",263,32381
"К",264,25139
"К",265,56191
"К",266,26841
"К",267,37538
"К",268,46292
"К",269,27452
"К",270,31922
"К",271,28517
"К",272,28490
"К",273,30356
"К",274,29393
"К",275,38746
"К",276,25373
"К",277,21072
"К",278,18563
"К",279,27447
"К",280,30244
"К",281,25278
"К",282,22549
"К",283,21030
"К",284,23776
"К",285,22296
"К",286,15244
"К",287,23122
"К",288,19977
"К",289,19955
"К",290,17838
"К",291,18965
"К",292,14744
"К",293,17099
"К",294,17802
"К",295,17576
"К",296,12056
"К",297,14582
"К",298,13004
"К",299,12663
"К",300,13181
"К",301,14130
"К",302,15595
"К",303,9313
"К",304,15118
"К",305,9095
"К",306,9518
"К",307,10629
"К",308,13049
"К",309,9041
"К",310,10667
"К",311,12290
"К",312,8143
"К",313,6982
"К",314,11366
"К",315,6513
"К",316,6093
"К",317,6143
"К",318,9477
"К",319,5748
"К",320,7565
"К",321,7620
"К",322,8251
"К",323,5303
"К",324,5007
"К",325,5249
"К",326,7688
"К",327,4380
"К",328,6758
"К",329,7897
"К",330,4386
"К",331,6928
"К",332,3846
"К",333,4523
"К",334,6248
"К",335,9891
"К",336,6015
"К",337,4413
"К",338,3859
"К",339,5447
"К",340,3344
"К",341,4057
"К",342,5114
"К",343,7823
"К",344,3159
"К",345,3371
"К",346,2946
"К",347,4917
"К",348,3571
"К",349,5797
"К",350,4236
"К",351,4849
"К",352,3731
"К",353,3358
"К",354,2990
"К",355,4041
"К",356,2156
"К",357,5129
"К",358,6340
"К",359,2151
"К",360,4480
"К",361,2818
"К",362,1633
"К",363,3151
"К",364,1696
"К",365,3045
"К",366,4451
"К",367,2003
"К",368,9362
"К",369,3439
"К",370,2935
"К",371,2204
"К",372,3016
"К",373,2976
"К",374,1675
"К",375,3583
"К",376,8112
"К",377,2094
"К",378,1988
"К",379,2374
"К",380,1939
"К",381,5429
"К",382,678
"К",383,2262
"К",384,5474
"К",385,2273
"К",386,1550
"К",387,1602
"К",388,3796
"К",389,3896
"К",390,748
"К",391,2690
"К",392,3340
"К",393,869
"К",394,859
"К",395,992
"К",396,1415
"К",397,3995
"К",398,2391
"К",399,716
"К",400,2092
"К",401,7946
"К",402,1314
"К",403,496
"К",404,1326
"К",405,2625
"К",406,1369
"К",407,1188
"К",408,4140
"К",409,4917
"К",410,598
"К",411,1726
"К",412,1001
"К",413,1236
"К",414,985
"К",415,710
"К",416,1816
"К",417,2750
"К",418,544
"К",419,477
"К",420,1428
"К",421,1527
"К",422,620
"К",423,949
"К",424,776
"К",425,720
"К",426,1640
"К",427,825
"К",428,1229
"К",429,677
"К",430,975
"К",431,162
"К",432,795
"К",433,621
"К",434,746
"К",435,633
"К",436,1614
"К",437,781
"К",438,1578
"К",439,979
"К",440,267
"К",441,741
"К",442,1691
"К",443,302
"К",444,860
"К",445,1438
"К",446,1532
"К",447,391
"К",448,338
"К",449,186
"К",450,819
"К",451,247
"К",452,239
"К",453,199
"К",454,463
"К",455,832
"К",456,120
"К",457,305
"К",458,351
"К",459,407
"К",460,115
"К",461,223
"К",462,392
"К",463,304
"К",464,149
"К",465,152
"К",466,447
"К",467,330
"К",468,805
"К",469,122
"К",470,293
"К",471,310
"К",472,100
"К",473,50
"К",474,177
"К",475,238
"К",476,129
"К",477,237
"К",478,775
"К",479,429
"К",480,140
"К",481,77
"К",482,130
"К",483,144
"К",484,116
"К",485,333
"К",486,448
"К",487,148
"К",488,104
"К",489,156
"К",490,74
"К",491,118
"К",492,84
"К",493,89
"К",494,45
"К",495,119
"К",496,113
"К",497,154
"К",498,193
"К",499,154
"К",500,62
"К",501,230
"К",502,43
"К",503,173
"К",504,136
"К",505,254
"К",506,184
"К",507,153
"К",508,378
"К",509,58
"К",510,360
"К",511,382
"К",512,109
"К",513,69
"К",514,33
"К",515,64
"К",516,120
"К",517,85
"К",518,152
"К",519,172
"К",520,73
"К",521,111
"К",522,74
"К",523,44
"К",524,185
"К",525,144
"К",526,41
"К",527,103
"К",528,63
"К",529,117
"К",530,96
"К",531,110
"К",532,71
"К",533,95
"К",534,109
"К",535,26
"К",536,80
"К",537,128
"К",538,226
"К",539,40
"К",540,11
"К",541,41
"К",542,14
"К",543,14
"К",544,55
"К",545,13
"К",546,39
"К",547,13
"К",548,13
"К",549,42
"К",550,13
"К",551,28
"К",552,54
"К",553,14
"К",554,52
"К",555,62
"К",556,41
"К",557,141
"К",558,76
"К",559,8
"К",560,31
"К",561,27
"К",562,25
"К",563,18
"К",564,24
"К",565,83
"К",566,6
"К",567,40
"К",568,12
"К",569,10
"К",570,16
"К",571,10
"К",572,63
"К",573,29
"К",574,16
"К",575,48
"К",576,9
"К",577,45
"К",578,12
"К",579,81
"К",580,27
"К",581,10
"К",582,6
"К",583,112
"К",584,35
"К",585,76
"К",586,6
"К",587,104
"К",588,4
"К",589,21
"К",590,74
"К",591,10
"К",592,17
"К",593,12
"К",594,49
"К",595,34
"К",596,23
"К",597,67
"К",598,7
"К",599,10
"К",600,100
"К",601,30
"К",602,28
"К",603,62
"К",604,37
"К",605,47
"К",606,16
"К",607,9
"К",608,9
"К",609,15
"К",610,20
"К",611,12
"К",612,3
"К",613,29
"К",614,32
"К",615,15
"К",616,5
"К",617,23
"К",618,35
"К",619,1
"К",620,3
"К",621,41
"К",622,18
"К",623,58
"К",624,3
"К",625,12
"К",626,11
"К",627,1
"К",628,11
"К",629,15
"К",630,3
"К",631,0
"К",632,27
"К",633,7
"К",634,18
"К",635,9
"К",636,27
"К",637,0
"К",638,4
"К",639,14
"К",640,14
"К",641,4
"К",642,23
"К",643,3
"К",644,8
"К",645,4
"К",646,24
"К",647,13
"К",648,5
"К",649,4
"К",650,3
"К",651,1
"К",652,6
"К",653,8
"К",654,4
"К",655,0
"К",656,4
"К",657,5
"К",658,6
"К",659,2
"К",660,7
"К",661,1
"К",662,0
"К",663,4
"К",664,5
"К",665,1
"К",666,1
"К",667,22
"К",668,2
"К",669,3
"К",670,26
"К",671,4
"К",672,1
"К",673,2
"К",674,1
"К",675,2
"К",676,3
"К",677,4
"К",678,0
"К",679,3
"К",680,0
"К",681,1
"К",682,5
"К",683,5
"К",684,2
"К",685,5
"К",686,0
"К",687,1
"К",688,1
"К",689,0
"К",690,1
"К",691,4
"К",692,5
"К",693,4
"К",694,0
"К",695,1
"К",696,0
"К",697,2
"К",698,1
"К",699,2
"К",700,11
"К",701,4
"К",702,9
"К",703,0
"К",704,0
"К",705,13
"К",706,5
"К",707,7
"К",708,6
"К",709,5
"К",710,0
"К",711,3
"К",712,4
"К",713,5
"К",714,2
"К",715,1
"К",716,0
"К",717,3
"К",718,2
"К",719,3
"К",720,0
"К",721,3
"К",722,1
"К",723,3
"К",724,8
"К",725,0
"К",726,5
"К",727,0
"К",728,3
"К",729,4
"К",730,1
"К",731,2
"К",732,4
"К",733,1
"К",734,10
"К",735,9
"К",736,3
"К",737,9
"К",738,3
"К",739,1
"К",740,0
"К",741,5
"К",742,4
"К",743,9
"К",744,6
"К",745,4
"К",746,10
"К",747,18
"К",748,37
"К",749,72
"К",750,31
"К",751,30
"К",752,16
"К",753,74
"К",754,15
"К",755,4
"К",756,38
"К",757,57
"К",758,35
"К",759,33
"К",760,70
"К",761,5
"К",762,14
"К",763,9
"К",764,8
"К",765,40
"К",766,13
"К",767,27
"К",768,14
"К",769,26
"К",770,13
"К",771,45
"К",772,6
"К",773,6
"К",774,3
"К",775,15
"К",776,5
"К",777,3
"К",778,7
"К",779,5
"К",780,10
"К",781,1
"К",782,37
"К",783,13
"К",784,30
"К",785,57
"К",786,6
"К",787,74
"К",788,109
"К",789,15
"К",790,41
"К",791,13
"К",792,34
"К",793,6
"К",794,46
"К",795,30
"К",796,14
"К",797,9
"К",798,20
"К",799,102
"К",800,49
"К",801,10
"К",802,69
"К",803,83
"К",804,52
"К",805,43
"К",806,30
"К",807,13
"К",808,23
"К",809,47
"К",810,27
"К",811,14
"К",812,47
"К",813,6
"К",814,57
"К",815,25
"К",816,13
"К",817,56
"К",818,30
"К",819,13
"К",820,39
"К",821,4
"К",822,6
"К",823,3
"К",824,4
"К",825,0
"К",826,3
"К",827,14
"К",828,2
"К",829,49
"К",830,1
"К",831,14
"К",832,23
"К",833,3
"К",834,28
"К",835,17
"К",836,0
"К",837,0
"К",838,0
"К",839,4
"К",840,4
"К",841,0
"К",842,11
"К",843,21
"К",844,6
"К",845,14
"К",846,0
"К",847,29
