"tipvg","price","count"
"К",1,0
"К",2,0
"К",3,0
"К",4,0
"К",5,725
"К",6,0
"К",7,1960
"К",8,1464
"К",9,0
"К",10,0
"К",11,165
"К",12,0
"К",13,52
"К",14,420
"К",15,270
"К",16,352
"К",17,561
"К",18,522
"К",19,1539
"К",20,2540
"К",21,2184
"К",22,5148
"К",23,184368
"К",24,199152
"К",25,588800
"К",26,105612
"К",27,20520
"К",28,16968
"К",29,64467
"К",30,21870
"К",31,134943
"К",32,108448
"К",33,348876
"К",34,14416
"К",35,5775
"К",36,13752
"К",37,10249
"К",38,7524
"К",39,12051
"К",40,102160
"К",41,84542
"К",42,10290
"К",43,43731
"К",44,23232
"К",45,26010
"К",46,53314
"К",47,37741
"К",48,75552
"К",49,153027
"К",50,83750
"К",51,116535
"К",52,117520
"К",53,147499
"К",54,175554
"К",55,202620
"К",56,185864
"К",57,321423
"К",58,264248
"К",59,342967
"К",60,396960
"К",61,334646
"К",62,477586
"К",63,600579
"К",64,489088
"К",65,550745
"К",66,684288
"К",67,798573
"К",68,747184
"К",69,777768
"К",70,1000020
"К",71,626149
"К",72,1004976
"К",73,939510
"К",74,1193176
"К",75,1146375
"К",76,1426824
"К",77,647878
"К",78,1346592
"К",79,986315
"К",80,984080
"К",81,1631097
"К",82,1486414
"К",83,1606714
"К",84,757848
"К",85,952935
"К",86,1271080
"К",87,1642908
"К",88,1791944
"К",89,1407268
"К",90,1467810
"К",91,1902992
"К",92,1381932
"К",93,1482792
"К",94,1845972
"К",95,1817920
"К",96,2429856
"К",97,2076091
"К",98,2176874
"К",99,2065437
"К",100,2064000
"К",101,2492478
"К",102,2466462
"К",103,2144254
"К",104,2812888
"К",105,3051300
"К",106,2257800
"К",107,2792807
"К",108,2691576
"К",109,3379545
"К",110,2238500
"К",111,2967585
"К",112,3474128
"К",113,3163887
"К",114,3184134
"К",115,3543955
"К",116,3685900
"К",117,2994030
"К",118,3134788
"К",119,3360917
"К",120,4441680
"К",121,3955127
"К",122,3563498
"К",123,4036983
"К",124,4633260
"К",125,3878875
"К",126,3499398
"К",127,4894453
"К",128,4996992
"К",129,5144520
"К",130,4621240
"К",131,5032889
"К",132,4375008
"К",133,5087915
"К",134,5835164
"К",135,5867775
"К",136,4490176
"К",137,5513565
"К",138,6510702
"К",139,5160514
"К",140,6868120
"К",141,6599223
"К",142,5765342
"К",143,5632198
"К",144,6388128
"К",145,8190180
"К",146,6765056
"К",147,5628189
"К",148,7227432
"К",149,6753425
"К",150,6695400
"К",151,6047097
"К",152,8079408
"К",153,8703405
"К",154,8735034
"К",155,7429770
"К",156,7631052
"К",157,7815146
"К",158,7169566
"К",159,8322060
"К",160,9325280
"К",161,7870807
"К",162,7615782
"К",163,8421069
"К",164,11461796
"К",165,8491890
"К",166,6739932
"К",167,11194678
"К",168,7638624
"К",169,7102225
"К",170,9537680
"К",171,9314712
"К",172,13118956
"К",173,9205503
"К",174,8375490
"К",175,7451500
"К",176,9309872
"К",177,9509325
"К",178,11926000
"К",179,10469889
"К",180,11335860
"К",181,7715849
"К",182,7753382
"К",183,8407203
"К",184,9881168
"К",185,12699140
"К",186,13360566
"К",187,10335864
"К",188,10685920
"К",189,8562834
"К",190,10064300
"К",191,11380926
"К",192,11484864
"К",193,11630759
"К",194,9378736
"К",195,11807640
"К",196,11598104
"К",197,10129346
"К",198,9897822
"К",199,11065992
"К",200,12809200
"К",201,13013343
"К",202,11162924
"К",203,12029577
"К",204,10831788
"К",205,12419720
"К",206,11026768
"К",207,11898774
"К",208,11953968
"К",209,12463297
"К",210,11656050
"К",211,12880073
"К",212,13234312
"К",213,12956151
"К",214,12900990
"К",215,10307530
"К",216,12939048
"К",217,13380654
"К",218,13487660
"К",219,13625085
"К",220,12268740
"К",221,13823771
"К",222,13968018
"К",223,10075363
"К",224,13685952
"К",225,9668475
"К",226,13687464
"К",227,12448453
"К",228,13144200
"К",229,14017319
"К",230,17087160
"К",231,13345563
"К",232,12242640
"К",233,11859933
"К",234,10132668
"К",235,13610260
"К",236,13595016
"К",237,11069559
"К",238,14427798
"К",239,14066106
"К",240,13275360
"К",241,11271088
"К",242,13366386
"К",243,12067380
"К",244,9947636
"К",245,14932015
"К",246,9681330
"К",247,15169011
"К",248,12794816
"К",249,10691313
"К",250,12599000
"К",251,10514641
"К",252,11673396
"К",253,10790956
"К",254,10324084
"К",255,11244990
"К",256,8795904
"К",257,11724854
"К",258,10897662
"К",259,8344203
"К",260,12571000
"К",261,11757267
"К",262,9173668
"К",263,8516203
"К",264,6636696
"К",265,14890615
"К",266,7139706
"К",267,10022646
"К",268,12406256
"К",269,7384588
"К",270,8618940
"К",271,7728107
"К",272,7749280
"К",273,8287188
"К",274,8053682
"К",275,10655150
"К",276,7002948
"К",277,5836944
"К",278,5160514
"К",279,7657713
"К",280,8468320
"К",281,7103118
"К",282,6358818
"К",283,5951490
"К",284,6752384
"К",285,6354360
"К",286,4359784
"К",287,6636014
"К",288,5753376
"К",289,5766995
"К",290,5173020
"К",291,5518815
"К",292,4305248
"К",293,5010007
"К",294,5233788
"К",295,5184920
"К",296,3568576
"К",297,4330854
"К",298,3875192
"К",299,3786237
"К",300,3954300
"К",301,4253130
"К",302,4709690
"К",303,2821839
"К",304,4595872
"К",305,2773975
"К",306,2912508
"К",307,3263103
"К",308,4019092
"К",309,2793669
"К",310,3306770
"К",311,3822190
"К",312,2540616
"К",313,2185366
"К",314,3568924
"К",315,2051595
"К",316,1925388
"К",317,1947331
"К",318,3013686
"К",319,1833612
"К",320,2420800
"К",321,2446020
"К",322,2656822
"К",323,1712869
"К",324,1622268
"К",325,1705925
"К",326,2506288
"К",327,1432260
"К",328,2216624
"К",329,2598113
"К",330,1447380
"К",331,2293168
"К",332,1276872
"К",333,1506159
"К",334,2086832
"К",335,3313485
"К",336,2021040
"К",337,1487181
"К",338,1304342
"К",339,1846533
"К",340,1136960
"К",341,1383437
"К",342,1748988
"К",343,2683289
"К",344,1086696
"К",345,1162995
"К",346,1019316
"К",347,1706199
"К",348,1242708
"К",349,2023153
"К",350,1482600
"К",351,1701999
"К",352,1313312
"К",353,1185374
"К",354,1058460
"К",355,1434555
"К",356,767536
"К",357,1831053
"К",358,2269720
"К",359,772209
"К",360,1612800
"К",361,1017298
"К",362,591146
"К",363,1143813
"К",364,617344
"К",365,1111425
"К",366,1629066
"К",367,735101
"К",368,3445216
"К",369,1268991
"К",370,1085950
"К",371,817684
"К",372,1121952
"К",373,1110048
"К",374,626450
"К",375,1343625
"К",376,3050112
"К",377,789438
"К",378,751464
"К",379,899746
"К",380,736820
"К",381,2068449
"К",382,258996
"К",383,866346
"К",384,2102016
"К",385,875105
"К",386,598300
"К",387,619974
"К",388,1472848
"К",389,1515544
"К",390,291720
"К",391,1051790
"К",392,1309280
"К",393,341517
"К",394,338446
"К",395,391840
"К",396,560340
"К",397,1586015
"К",398,951618
"К",399,285684
"К",400,836800
"К",401,3186346
"К",402,528228
"К",403,199888
"К",404,535704
"К",405,1063125
"К",406,555814
"К",407,483516
"К",408,1689120
"К",409,2011053
"К",410,245180
"К",411,709386
"К",412,412412
"К",413,510468
"К",414,407790
"К",415,294650
"К",416,755456
"К",417,1146750
"К",418,227392
"К",419,199863
"К",420,599760
"К",421,642867
"К",422,261640
"К",423,401427
"К",424,329024
"К",425,306000
"К",426,698640
"К",427,352275
"К",428,526012
"К",429,290433
"К",430,419250
"К",431,69822
"К",432,343440
"К",433,268893
"К",434,323764
"К",435,275355
"К",436,703704
"К",437,341297
"К",438,691164
"К",439,429781
"К",440,117480
"К",441,326781
"К",442,747422
"К",443,133786
"К",444,381840
"К",445,639910
"К",446,683272
"К",447,174777
"К",448,151424
"К",449,83514
"К",450,368550
"К",451,111397
"К",452,108028
"К",453,90147
"К",454,210202
"К",455,378560
"К",456,54720
"К",457,139385
"К",458,160758
"К",459,186813
"К",460,52900
"К",461,102803
"К",462,181104
"К",463,140752
"К",464,69136
"К",465,70680
"К",466,208302
"К",467,154110
"К",468,376740
"К",469,57218
"К",470,137710
"К",471,146010
"К",472,47200
"К",473,23650
"К",474,83898
"К",475,113050
"К",476,61404
"К",477,113049
"К",478,370450
"К",479,205491
"К",480,67200
"К",481,37037
"К",482,62660
"К",483,69552
"К",484,56144
"К",485,161505
"К",486,217728
"К",487,72076
"К",488,50752
"К",489,76284
"К",490,36260
"К",491,57938
"К",492,41328
"К",493,43877
"К",494,22230
"К",495,58905
"К",496,56048
"К",497,76538
"К",498,96114
"К",499,76846
"К",500,31000
"К",501,115230
"К",502,21586
"К",503,87019
"К",504,68544
"К",505,128270
"К",506,93104
"К",507,77571
"К",508,192024
"К",509,29522
"К",510,183600
"К",511,195202
"К",512,55808
"К",513,35397
"К",514,16962
"К",515,32960
"К",516,61920
"К",517,43945
"К",518,78736
"К",519,89268
"К",520,37960
"К",521,57831
"К",522,38628
"К",523,23012
"К",524,96940
"К",525,75600
"К",526,21566
"К",527,54281
"К",528,33264
"К",529,61893
"К",530,50880
"К",531,58410
"К",532,37772
"К",533,50635
"К",534,58206
"К",535,13910
"К",536,42880
"К",537,68736
"К",538,121588
"К",539,21560
"К",540,5940
"К",541,22181
"К",542,7588
"К",543,7602
"К",544,29920
"К",545,7085
"К",546,21294
"К",547,7111
"К",548,7124
"К",549,23058
"К",550,7150
"К",551,15428
"К",552,29808
"К",553,7742
"К",554,28808
"К",555,34410
"К",556,22796
"К",557,78537
"К",558,42408
"К",559,4472
"К",560,17360
"К",561,15147
"К",562,14050
"К",563,10134
"К",564,13536
"К",565,46895
"К",566,3396
"К",567,22680
"К",568,6816
"К",569,5690
"К",570,9120
"К",571,5710
"К",572,36036
"К",573,16617
"К",574,9184
"К",575,27600
"К",576,5184
"К",577,25965
"К",578,6936
"К",579,46899
"К",580,15660
"К",581,5810
"К",582,3492
"К",583,65296
"К",584,20440
"К",585,44460
"К",586,3516
"К",587,61048
"К",588,2352
"К",589,12369
"К",590,43660
"К",591,5910
"К",592,10064
"К",593,7116
"К",594,29106
"К",595,20230
"К",596,13708
"К",597,39999
"К",598,4186
"К",599,5990
"К",600,60000
"К",601,18030
"К",602,16856
"К",603,37386
"К",604,22348
"К",605,28435
"К",606,9696
"К",607,5463
"К",608,5472
"К",609,9135
"К",610,12200
"К",611,7332
"К",612,1836
"К",613,17777
"К",614,19648
"К",615,9225
"К",616,3080
"К",617,14191
"К",618,21630
"К",619,619
"К",620,1860
"К",621,25461
"К",622,11196
"К",623,36134
"К",624,1872
"К",625,7500
"К",626,6886
"К",627,627
"К",628,6908
"К",629,9435
"К",630,1890
"К",631,0
"К",632,17064
"К",633,4431
"К",634,11412
"К",635,5715
"К",636,17172
"К",637,0
"К",638,2552
"К",639,8946
"К",640,8960
"К",641,2564
"К",642,14766
"К",643,1929
"К",644,5152
"К",645,2580
"К",646,15504
"К",647,8411
"К",648,3240
"К",649,2596
"К",650,1950
"К",651,651
"К",652,3912
"К",653,5224
"К",654,2616
"К",655,0
"К",656,2624
"К",657,3285
"К",658,3948
"К",659,1318
"К",660,4620
"К",661,661
"К",662,0
"К",663,2652
"К",664,3320
"К",665,665
"К",666,666
"К",667,14674
"К",668,1336
"К",669,2007
"К",670,17420
"К",671,2684
"К",672,672
"К",673,1346
"К",674,674
"К",675,1350
"К",676,2028
"К",677,2708
"К",678,0
"К",679,2037
"К",680,0
"К",681,681
"К",682,3410
"К",683,3415
"К",684,1368
"К",685,3425
"К",686,0
"К",687,687
"К",688,688
"К",689,0
"К",690,690
"К",691,2764
"К",692,3460
"К",693,2772
"К",694,0
"К",695,695
"К",696,0
"К",697,1394
"К",698,698
"К",699,1398
"К",700,7700
"К",701,2804
"К",702,6318
"К",703,0
"К",704,0
"К",705,9165
"К",706,3530
"К",707,4949
"К",708,4248
"К",709,3545
"К",710,0
"К",711,2133
"К",712,2848
"К",713,3565
"К",714,1428
"К",715,715
"К",716,0
"К",717,2151
"К",718,1436
"К",719,2157
"К",720,0
"К",721,2163
"К",722,722
"К",723,2169
"К",724,5792
"К",725,0
"К",726,3630
"К",727,0
"К",728,2184
"К",729,2916
"К",730,730
"К",731,1462
"К",732,2928
"К",733,733
"К",734,7340
"К",735,6615
"К",736,2208
"К",737,6633
"К",738,2214
"К",739,739
"К",740,0
"К",741,3705
"К",742,2968
"К",743,6687
"К",744,4464
"К",745,2980
"К",746,7460
"К",747,13446
"К",748,27676
"К",749,53928
"К",750,23250
"К",751,22530
"К",752,12032
"К",753,55722
"К",754,11310
"К",755,3020
"К",756,28728
"К",757,43149
